
lecturer_name,location,status,timestamp,day_of_week
Dr. Smith,Lab 2,In Class,2026-02-06 09:30:00,Friday
Dr. Smith,Lab 1,In Class,2026-02-06 10:45:00,Friday
Dr. Smith,Cabin 101,In Class,2026-02-06 11:50:00,Friday
Dr. Smith,Cabin 101,Busy,2026-02-06 13:15:00,Friday
Dr. Smith,Lab 2,Available,2026-02-06 14:15:00,Friday
Dr. Smith,Cabin 101,Available,2026-02-06 15:30:00,Friday
Prof. Doe,Cabin 102,In Class,2026-02-06 09:15:00,Friday
Prof. Doe,Lab 2,In Class,2026-02-06 10:30:00,Friday
Prof. Doe,Cabin 102,In Class,2026-02-06 11:15:00,Friday
Prof. Doe,Cabin 102,Busy,2026-02-06 12:30:00,Friday
Prof. Doe,Lab 2,Available,2026-02-06 14:45:00,Friday
Prof. Doe,Cabin 102,Available,2026-02-06 16:00:00,Friday
Dr. Jones,Lab 1,In Class,2026-02-06 09:05:00,Friday
Dr. Jones,Lab 2,In Class,2026-02-06 10:10:00,Friday
Dr. Jones,Lab 3,In Class,2026-02-06 11:35:00,Friday
Dr. Jones,Cabin 101,Busy,2026-02-06 13:45:00,Friday
Dr. Jones,Lab 2,Available,2026-02-06 15:20:00,Friday
Dr. Jones,Cabin 101,Available,2026-02-06 16:50:00,Friday
Dr. Brown,Lab 3,In Class,2026-02-06 09:40:00,Friday
Dr. Brown,Cabin 102,In Class,2026-02-06 10:50:00,Friday
Dr. Brown,Lab 2,In Class,2026-02-06 11:45:00,Friday
Dr. Brown,Cabin 102,Busy,2026-02-06 12:15:00,Friday
Dr. Brown,Lab 2,Available,2026-02-06 14:05:00,Friday
Dr. Brown,Cabin 102,Available,2026-02-06 16:20:00,Friday
Dr. Smith,Lab 2,In Class,2026-02-09 09:15:00,Monday
Dr. Smith,Cabin 101,In Class,2026-02-09 10:30:00,Monday
Dr. Smith,Lab 2,In Class,2026-02-09 11:45:00,Monday
Dr. Smith,Cabin 101,Busy,2026-02-09 13:00:00,Monday
Dr. Smith,Lab 2,Available,2026-02-09 14:30:00,Monday
Dr. Smith,Cabin 101,Available,2026-02-09 16:15:00,Monday
Prof. Doe,Lab 1,In Class,2026-02-09 09:05:00,Monday
Prof. Doe,Lab 2,In Class,2026-02-09 10:20:00,Monday
Prof. Doe,Cabin 102,In Class,2026-02-09 11:35:00,Monday
Prof. Doe,Cabin 102,Busy,2026-02-09 12:45:00,Monday
Prof. Doe,Lab 2,Available,2026-02-09 15:10:00,Monday
Prof. Doe,Cabin 102,Available,2026-02-09 16:30:00,Monday
Dr. Jones,Lab 3,In Class,2026-02-09 09:40:00,Monday
Dr. Jones,Lab 2,In Class,2026-02-09 10:55:00,Monday
Dr. Jones,Lab 3,In Class,2026-02-09 11:50:00,Monday
Dr. Jones,Cabin 101,Busy,2026-02-09 12:20:00,Monday
Dr. Jones,Lab 2,Available,2026-02-09 14:15:00,Monday
Dr. Jones,Cabin 101,Available,2026-02-09 16:05:00,Monday
Dr. Brown,Lab 2,In Class,2026-02-09 09:25:00,Monday
Dr. Brown,Lab 1,In Class,2026-02-09 10:10:00,Monday
Dr. Brown,Lab 2,In Class,2026-02-09 11:15:00,Monday
Dr. Brown,Cabin 102,Busy,2026-02-09 13:30:00,Monday
Dr. Brown,Cabin 102,Available,2026-02-09 14:50:00,Monday
Dr. Brown,Lab 2,Available,2026-02-09 16:40:00,Monday
Dr. Smith,Cabin 101,In Class,2026-02-10 09:00:00,Tuesday
Dr. Smith,Lab 2,In Class,2026-02-10 10:15:00,Tuesday
Dr. Smith,Lab 1,In Class,2026-02-10 11:30:00,Tuesday
Dr. Smith,Cabin 101,Busy,2026-02-10 12:15:00,Tuesday
Dr. Smith,Lab 2,Available,2026-02-10 14:00:00,Tuesday
Dr. Smith,Cabin 101,Available,2026-02-10 15:45:00,Tuesday
Prof. Doe,Lab 2,In Class,2026-02-10 09:30:00,Tuesday
Prof. Doe,Lab 3,In Class,2026-02-10 10:45:00,Tuesday
Prof. Doe,Lab 2,In Class,2026-02-10 11:55:00,Tuesday
Prof. Doe,Cabin 102,Busy,2026-02-10 13:10:00,Tuesday
Prof. Doe,Cabin 102,Available,2026-02-10 14:40:00,Tuesday
Prof. Doe,Lab 2,Available,2026-02-10 16:15:00,Tuesday
Dr. Jones,Lab 2,In Class,2026-02-10 09:10:00,Tuesday
Dr. Jones,Cabin 101,In Class,2026-02-10 10:25:00,Tuesday
Dr. Jones,Lab 2,In Class,2026-02-10 11:40:00,Tuesday
Dr. Jones,Cabin 101,Busy,2026-02-10 12:50:00,Tuesday
Dr. Jones,Lab 2,Available,2026-02-10 15:00:00,Tuesday
Dr. Jones,Cabin 101,Available,2026-02-10 16:45:00,Tuesday
Dr. Brown,Cabin 102,In Class,2026-02-10 09:50:00,Tuesday
Dr. Brown,Lab 2,In Class,2026-02-10 11:05:00,Tuesday
Dr. Brown,Lab 1,In Class,2026-02-10 11:50:00,Tuesday
Dr. Brown,Cabin 102,Busy,2026-02-10 13:45:00,Tuesday
Dr. Brown,Lab 2,Available,2026-02-10 14:20:00,Tuesday
Dr. Brown,Cabin 102,Available,2026-02-10 16:00:00,Tuesday
Dr. Smith,Lab 2,In Class,2026-02-11 09:15:00,Wednesday
Dr. Smith,Cabin 101,In Class,2026-02-11 10:30:00,Wednesday
Dr. Smith,Lab 2,In Class,2026-02-11 11:45:00,Wednesday
Dr. Smith,Cabin 101,Busy,2026-02-11 13:00:00,Wednesday
Dr. Smith,Lab 2,Available,2026-02-11 14:30:00,Wednesday
Dr. Smith,Cabin 101,Available,2026-02-11 16:15:00,Wednesday
Prof. Doe,Lab 1,In Class,2026-02-11 09:05:00,Wednesday
Prof. Doe,Lab 2,In Class,2026-02-11 10:20:00,Wednesday
Prof. Doe,Cabin 102,In Class,2026-02-11 11:35:00,Wednesday
Prof. Doe,Cabin 102,Busy,2026-02-11 12:45:00,Wednesday
Prof. Doe,Lab 2,Available,2026-02-11 15:10:00,Wednesday
Prof. Doe,Cabin 102,Available,2026-02-11 16:30:00,Wednesday
Dr. Jones,Lab 3,In Class,2026-02-11 09:40:00,Wednesday
Dr. Jones,Lab 2,In Class,2026-02-11 10:55:00,Wednesday
Dr. Jones,Lab 3,In Class,2026-02-11 11:50:00,Wednesday
Dr. Jones,Cabin 101,Busy,2026-02-11 12:20:00,Wednesday
Dr. Jones,Lab 2,Available,2026-02-11 14:15:00,Wednesday
Dr. Jones,Cabin 101,Available,2026-02-11 16:05:00,Wednesday
Dr. Brown,Lab 2,In Class,2026-02-11 09:25:00,Wednesday
Dr. Brown,Lab 1,In Class,2026-02-11 10:10:00,Wednesday
Dr. Brown,Lab 2,In Class,2026-02-11 11:15:00,Wednesday
Dr. Brown,Cabin 102,Busy,2026-02-11 13:30:00,Wednesday
Dr. Brown,Cabin 102,Available,2026-02-11 14:50:00,Wednesday
Dr. Brown,Lab 2,Available,2026-02-11 16:40:00,Wednesday
Dr. Smith,Cabin 101,In Class,2026-02-12 09:00:00,Thursday
Dr. Smith,Lab 2,In Class,2026-02-12 10:15:00,Thursday
Dr. Smith,Lab 1,In Class,2026-02-12 11:30:00,Thursday
Dr. Smith,Cabin 101,Busy,2026-02-12 12:15:00,Thursday
Dr. Smith,Lab 2,Available,2026-02-12 14:00:00,Thursday
Dr. Smith,Cabin 101,Available,2026-02-12 15:45:00,Thursday
Prof. Doe,Lab 2,In Class,2026-02-12 09:30:00,Thursday
Prof. Doe,Lab 3,In Class,2026-02-12 10:45:00,Thursday
Prof. Doe,Lab 2,In Class,2026-02-12 11:55:00,Thursday
Prof. Doe,Cabin 102,Busy,2026-02-12 13:10:00,Thursday
Prof. Doe,Cabin 102,Available,2026-02-12 14:40:00,Thursday
Prof. Doe,Lab 2,Available,2026-02-12 16:15:00,Thursday
Dr. Jones,Lab 2,In Class,2026-02-12 09:10:00,Thursday
Dr. Jones,Cabin 101,In Class,2026-02-12 10:25:00,Thursday
Dr. Jones,Lab 2,In Class,2026-02-12 11:40:00,Thursday
Dr. Jones,Cabin 101,Busy,2026-02-12 12:50:00,Thursday
Dr. Jones,Lab 2,Available,2026-02-12 15:00:00,Thursday
Dr. Jones,Cabin 101,Available,2026-02-12 16:45:00,Thursday
Dr. Brown,Cabin 102,In Class,2026-02-12 09:50:00,Thursday
Dr. Brown,Lab 2,In Class,2026-02-12 11:05:00,Thursday
Dr. Brown,Lab 1,In Class,2026-02-12 11:50:00,Thursday
Dr. Brown,Cabin 102,Busy,2026-02-12 13:45:00,Thursday
Dr. Brown,Lab 2,Available,2026-02-12 14:20:00,Thursday
Dr. Brown,Cabin 102,Available,2026-02-12 16:00:00,Thursday
Dr. Smith,Lab 2,In Class,2026-02-13 09:30:00,Friday
Dr. Smith,Lab 1,In Class,2026-02-13 10:45:00,Friday
Dr. Smith,Cabin 101,In Class,2026-02-13 11:50:00,Friday
Dr. Smith,Cabin 101,Busy,2026-02-13 13:15:00,Friday
Dr. Smith,Lab 2,Available,2026-02-13 14:15:00,Friday
Dr. Smith,Cabin 101,Available,2026-02-13 15:30:00,Friday
Prof. Doe,Cabin 102,In Class,2026-02-13 09:15:00,Friday
Prof. Doe,Lab 2,In Class,2026-02-13 10:30:00,Friday
Prof. Doe,Cabin 102,In Class,2026-02-13 11:15:00,Friday
Prof. Doe,Cabin 102,Busy,2026-02-13 12:30:00,Friday
Prof. Doe,Lab 2,Available,2026-02-13 14:45:00,Friday
Prof. Doe,Cabin 102,Available,2026-02-13 16:00:00,Friday
Dr. Jones,Lab 1,In Class,2026-02-13 09:05:00,Friday
Dr. Jones,Lab 2,In Class,2026-02-13 10:10:00,Friday
Dr. Jones,Lab 3,In Class,2026-02-13 11:35:00,Friday
Dr. Jones,Cabin 101,Busy,2026-02-13 13:45:00,Friday
Dr. Jones,Lab 2,Available,2026-02-13 15:20:00,Friday
Dr. Jones,Cabin 101,Available,2026-02-13 16:50:00,Friday
Dr. Brown,Lab 3,In Class,2026-02-13 09:40:00,Friday
Dr. Brown,Cabin 102,In Class,2026-02-13 10:50:00,Friday
Dr. Brown,Lab 2,In Class,2026-02-13 11:45:00,Friday
Dr. Brown,Cabin 102,Busy,2026-02-13 12:15:00,Friday
Dr. Brown,Lab 2,Available,2026-02-13 14:05:00,Friday
Dr. Brown,Cabin 102,Available,2026-02-13 16:20:00,Friday
Dr. Smith,Lab 2,In Class,2026-02-16 09:15:00,Monday
Dr. Smith,Cabin 101,In Class,2026-02-16 10:30:00,Monday
Dr. Smith,Lab 2,In Class,2026-02-16 11:45:00,Monday
Dr. Smith,Cabin 101,Busy,2026-02-16 13:00:00,Monday
Dr. Smith,Lab 2,Available,2026-02-16 14:30:00,Monday
Dr. Smith,Cabin 101,Available,2026-02-16 16:15:00,Monday
Prof. Doe,Lab 1,In Class,2026-02-16 09:05:00,Monday
Prof. Doe,Lab 2,In Class,2026-02-16 10:20:00,Monday
Prof. Doe,Cabin 102,In Class,2026-02-16 11:35:00,Monday
Prof. Doe,Cabin 102,Busy,2026-02-16 12:45:00,Monday
Prof. Doe,Lab 2,Available,2026-02-16 15:10:00,Monday
Prof. Doe,Cabin 102,Available,2026-02-16 16:30:00,Monday
Dr. Jones,Lab 3,In Class,2026-02-16 09:40:00,Monday
Dr. Jones,Lab 2,In Class,2026-02-16 10:55:00,Monday
Dr. Jones,Lab 3,In Class,2026-02-16 11:50:00,Monday
Dr. Jones,Cabin 101,Busy,2026-02-16 12:20:00,Monday
Dr. Jones,Lab 2,Available,2026-02-16 14:15:00,Monday
Dr. Jones,Cabin 101,Available,2026-02-16 16:05:00,Monday
Dr. Brown,Lab 2,In Class,2026-02-16 09:25:00,Monday
Dr. Brown,Lab 1,In Class,2026-02-16 10:10:00,Monday
Dr. Brown,Lab 2,In Class,2026-02-16 11:15:00,Monday
Dr. Brown,Cabin 102,Busy,2026-02-16 13:30:00,Monday
Dr. Brown,Cabin 102,Available,2026-02-16 14:50:00,Monday
Dr. Brown,Lab 2,Available,2026-02-16 16:40:00,Monday
Dr. Smith,Cabin 101,In Class,2026-02-17 09:00:00,Tuesday
Dr. Smith,Lab 2,In Class,2026-02-17 10:15:00,Tuesday
Dr. Smith,Lab 1,In Class,2026-02-17 11:30:00,Tuesday
Dr. Smith,Cabin 101,Busy,2026-02-17 12:15:00,Tuesday
Dr. Smith,Lab 2,Available,2026-02-17 14:00:00,Tuesday
Dr. Smith,Cabin 101,Available,2026-02-17 15:45:00,Tuesday
Prof. Doe,Lab 2,In Class,2026-02-17 09:30:00,Tuesday
Prof. Doe,Lab 3,In Class,2026-02-17 10:45:00,Tuesday
Prof. Doe,Lab 2,In Class,2026-02-17 11:55:00,Tuesday
Prof. Doe,Cabin 102,Busy,2026-02-17 13:10:00,Tuesday
Prof. Doe,Cabin 102,Available,2026-02-17 14:40:00,Tuesday
Prof. Doe,Lab 2,Available,2026-02-17 16:15:00,Tuesday
Dr. Jones,Lab 2,In Class,2026-02-17 09:10:00,Tuesday
Dr. Jones,Cabin 101,In Class,2026-02-17 10:25:00,Tuesday
Dr. Jones,Lab 2,In Class,2026-02-17 11:40:00,Tuesday
Dr. Jones,Cabin 101,Busy,2026-02-17 12:50:00,Tuesday
Dr. Jones,Lab 2,Available,2026-02-17 15:00:00,Tuesday
Dr. Jones,Cabin 101,Available,2026-02-17 16:45:00,Tuesday
Dr. Brown,Cabin 102,In Class,2026-02-17 09:50:00,Tuesday
Dr. Brown,Lab 2,In Class,2026-02-17 11:05:00,Tuesday
Dr. Brown,Lab 1,In Class,2026-02-17 11:50:00,Tuesday
Dr. Brown,Cabin 102,Busy,2026-02-17 13:45:00,Tuesday
Dr. Brown,Lab 2,Available,2026-02-17 14:20:00,Tuesday
Dr. Brown,Cabin 102,Available,2026-02-17 16:00:00,Tuesday
Dr. Smith,Lab 2,In Class,2026-02-18 09:15:00,Wednesday
Dr. Smith,Cabin 101,In Class,2026-02-18 10:30:00,Wednesday
Dr. Smith,Lab 2,In Class,2026-02-18 11:45:00,Wednesday
Dr. Smith,Cabin 101,Busy,2026-02-18 13:00:00,Wednesday
